srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,128,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313849.146699,1777313849.146699,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,11,1
0.0,57859,0.0,443,tcp,ACC,1.0092620849609375,5846,3042,128,112,0,0,https,5792.350755181954,3014.083304355714,8,6,515,16385,2210072982,1374049587,730.75,507.0,0,0,0.3001389720139114,0.26790873099318036,1777313850.178902,1777313851.188164,0.1441802978515625,0.16655383110046387,0.0,0.0,0.0,0,262,0,0,0,139,1,1,335,139,1,1
0.0,57819,0.0,443,tcp,ACC,0.12477898597717285,55,66,128,47,0,0,https,440.77934733386707,528.9352168006404,1,1,508,308,89322214,3933563471,55.0,66.0,0,0,0.0,0.0,1777313850.230192,1777313850.354971,0.0,0.0,0.0,0.0,0.0,0,262,0,0,0,139,1,1,335,139,1,1
0.0,57621,0.0,57621,udp,INT,34.81549096107483,1476,0,64,0,0,0,other,42.394921319657094,0.0,18,0,0,0,0,0,82.0,0.0,0,0,4.069934328479249,0.0,1777313850.273228,1777313885.088719,2.0479700565338135,0.0,0.0,0.0,0.0,1,15,0,0,0,1,19,19,1,1,11,1
0.0,61940,0.0,443,udp,INT,2.460860013961792,4803,5358,128,48,0,0,https,1951.7566918678751,2177.2876025459245,10,12,0,0,0,0,480.3,446.5,0,0,0.4457395675703047,0.4619940782023312,1777313850.536235,1777313852.997095,0.2696986463334825,0.2132538231936368,0.0,0.0,0.0,0,90,0,0,0,139,2,2,335,139,1,2
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,64,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313850.580599,1777313850.580599,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,2,19,19,2,1,11,2
0.0,27036,0.0,27036,udp,INT,27.033684015274048,683,0,128,0,0,0,other,25.264777069011554,0.0,5,0,0,0,0,0,136.6,0.0,0,0,6.994288259964429,0.0,1777313850.580599,1777313877.614283,6.758421003818512,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,1,1
0.0,54032,0.0,443,udp,INT,1.861374855041504,5408,5922,128,48,0,0,https,2905.379314302285,3181.5192861128203,12,13,0,0,0,0,450.6666666666667,455.53846153846155,0,0,0.23250423756812227,0.2673167946127051,1777313850.642487,1777313852.503862,0.15800263664939188,0.14539523919423422,0.0,0.0,0.0,0,90,0,0,0,139,1,1,335,139,1,1
0.0,137,0.0,137,udp,INT,1.5824661254882812,276,0,128,0,0,0,other,174.41131633376241,0.0,3,0,0,0,0,0,92.0,0.0,0,0,0.7908780574798584,0.0,1777313850.990718,1777313852.573184,0.7912330627441406,0.0,0.0,0.0,0.0,1,90,0,0,0,1,19,19,1,1,4,1
0.0,57621,0.0,57621,udp,INT,1e-06,82,0,64,0,0,0,other,82000000.0,0.0,1,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1777313852.021355,1777313852.021355,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,1,19,19,1,1,11,1
0.0,53111,0.0,53,udp,INT,1e-06,85,0,128,0,0,0,dns,85000000.0,0.0,1,0,0,0,0,0,85.0,0.0,0,0,0.0,0.0,1777313852.399653,1777313852.399653,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,4,4,335,191,1,4
0.0,57739,0.0,53,udp,INT,0.1368389129638672,85,117,128,121,0,0,dns,621.1683369806113,855.0199461968415,1,1,0,0,0,0,85.0,117.0,0,0,0.0,0.0,1777313852.400154,1777313852.536993,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,4,4,335,191,1,4
0.0,137,0.0,137,udp,INT,3.9556188583374023,184,0,64,0,0,0,other,46.5161095114552,0.0,2,0,0,0,0,0,92.0,0.0,0,0,0.0,0.0,1777313852.680731,1777313856.63635,3.9556188583374023,0.0,0.0,0.0,0.0,1,15,0,0,0,2,19,19,2,1,4,2
0.0,64856,0.0,53,udp,INT,0.030761003494262695,83,147,128,124,0,0,dns,2698.2214678230675,4778.777780361336,1,1,0,0,0,0,83.0,147.0,0,0,0.0,0.0,1777313854.01734,1777313854.048101,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,185,185,335,191,1,185
0.0,57908,0.0,443,tcp,ACC,8.196105003356934,30267,1019794,128,57,0,0,https,3692.8516640042244,124424.2234064005,213,541,1024,382,3326621106,2972885399,142.09859154929578,1885.0166358595195,0,0,0.06471177905767976,0.05277858075259882,1777313854.049069,1777313862.245174,0.038660872657344025,0.015101502118287263,0.04141497611999512,8.196024179458618,0.04141497611999512,0,262,0,0,2,139,2,2,335,139,1,2
0.0,57909,0.0,443,tcp,ACC,8.08024787902832,27445,1237143,128,57,0,0,https,3396.5542160199625,153107.06039240607,212,656,1024,367,391120786,2172574239,129.45754716981133,1885.8887195121952,0,0,0.07016731466589964,0.05553679746127512,1777313854.049077,1777313862.129325,0.03829501364468398,0.012273224619508699,0.04132390022277832,8.080167055130005,0.04132390022277832,0,262,0,0,0,139,2,2,335,139,1,2
0.0,57621,0.0,57621,udp,INT,1e-06,82,0,64,0,0,0,other,82000000.0,0.0,1,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1777313854.152249,1777313854.152249,0.0,0.0,0.0,0.0,0.0,1,15,0,0,0,1,3,3,1,1,3,1
0.0,50835,0.0,53,udp,INT,0.0048809051513671875,78,160,128,124,0,0,dns,15980.64243845252,32780.805001953886,1,1,0,0,0,0,78.0,160.0,0,0,0.0,0.0,1777313854.160192,1777313854.165073,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0,191,185,185,335,191,1,185
